method,psnr_white,ssim_white,lpips_white,psnr_black,ssim_black,lpips_black,psnr_foreground,fps,gpu_peak_gib,power_avg_w
NeRF,,,,,,,,0.13386,,
KiloNeRF,,,,,,,,30.92234,,
3D-GS,,,,,,,,31.25521,,
Kilo-GS-AL(応答蒸留),,,,,,,,0.94429,,
Kilo-GS-AL(特徴蒸留),14.20917,0.73836,0.36143,,,,,0.12090,3.56741,170.88750
FeatureDistill_SH52_smoke10k,9.60659,0.76109,0.26426,,,,,0.11127,3.56736,189.39814
FeatureDistill_SH52_smoke20k,9.60659,0.76109,0.26426,,,,,0.11298,3.56736,189.54189
expA_step20k,9.60659,0.76109,0.26426,1.24436,0.00172,0.61921,,0.09654,2.02327,182.63453
student_rgb_fourier_dir_depth060_v1,10.86556,0.72569,0.31154,,,,,0.12923,1.35774,
student_rgb_fourier_dir_depth030_alpha075,10.83196,0.72682,0.30725,,,,,0.12704,1.35774,
feature_distill_v11_debug10k_step050000,11.02500,0.70648,0.33805,,,,11.02500,0.13018,1.32667,
feature_distill_v11_debug10k_step025000,10.10581,0.71026,0.32284,,,,10.10581,0.13194,1.32667,
feature_distill_v11_debug10k_step030000,10.36267,0.70967,0.32693,,,,10.36267,0.13302,1.32667,
single_view_overfit_v1_step002000_view000,7.84729,0.67333,0.35087,,,,7.84729,0.31042,1.26488,
single_view_overfit_v1_step010000_view000,6.62950,0.70938,0.27232,,,,6.62950,0.16461,1.09661,
feature_distill_v12_debug10k_step010000,9.92475,0.70141,0.32861,,,,9.92475,0.13514,1.35779,
feature_distill_v12_debug10k_step025000,10.43617,0.70248,0.33244,,,,10.43617,0.13257,1.32667,
feature_distill_v12_debug10k_step030000,10.69197,0.70691,0.33529,,,,10.69197,0.12393,1.32667,
single_view_overfit_v1_step006000_view000,16.15503,0.55317,0.55960,,,,16.15502,0.31873,1.20925,
single_view_overfit_v5_step050000_view000,18.00348,0.76019,0.42665,,,,18.00348,0.31151,1.17812,
single_view_overfit_v6_step050000_view000,18.32167,0.75646,0.42720,,,,18.32167,0.29907,1.17812,
single_view_overfit_v6_ablation_step050000_view000,18.00348,0.76019,0.42665,,,,18.00348,0.30648,1.17812,
single_view_overfit_v6_step040000_view000,18.32366,0.75748,0.42543,,,,18.32365,0.29736,1.17812,
single_view_overfit_v6_tail_step040000_view000,19.16443,0.75701,0.42595,,,,19.16443,0.30381,1.17812,
single_view_overfit_v6_tail_step050000_view000,19.17480,0.75778,0.42433,,,,19.17480,0.32267,1.17812,
single_view_overfit_v7_step052000_view000,18.36618,0.75628,0.42365,,,,18.36618,0.29999,1.17812,
